Konto;Kontobezeichnung;Kontotyp;Kontenklasse;Kontenklasse_Name
0050;Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert (Vollhafter);F;0;Anlagevermögen
0051;;R;0;Anlagevermögen
0060;Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert (Vollhafter);F;0;Anlagevermögen
0061;;R;0;Anlagevermögen
0070;Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert (Teilhafter);F;0;Anlagevermögen
0071;;R;0;Anlagevermögen
0080;Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert (Teilhafter);F;0;Anlagevermögen
0081;;R;0;Anlagevermögen
0090;Rückständige fällige Einzahlungen auf Geschäftsanteile;;0;Anlagevermögen
0100;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;0;Anlagevermögen
0110;Konzessionen;;0;Anlagevermögen
0120;Gewerbliche Schutzrechte;;0;Anlagevermögen
0130;Ähnliche Rechte und Werte;;0;Anlagevermögen
0135;EDV-Software;;0;Anlagevermögen
0140;Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten;;0;Anlagevermögen
0143;Selbst geschaffene immaterielle Vermögensgegenstände;HB;0;Anlagevermögen
0144;EDV-Software;HB;0;Anlagevermögen
0145;Lizenzen und Franchiseverträge;HB;0;Anlagevermögen
0146;Konzessionen und gewerbliche Schutzrechte;HB;0;Anlagevermögen
0147;Rezepte, Verfahren, Prototypen;HB;0;Anlagevermögen
0148;Immaterielle Vermögensgegenstände in Entwicklung;HB;0;Anlagevermögen
0150;Geschäfts- oder Firmenwert;;0;Anlagevermögen
0160;;R;0;Anlagevermögen
0170;Geleistete Anzahlungen auf immaterielle Vermögensgegenstände;;0;Anlagevermögen
0179;Anzahlungen auf Geschäfts- oder Firmenwert;;0;Anlagevermögen
0200;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;0;Anlagevermögen
0210;Grundstücksgleiche Rechte ohne Bauten;;0;Anlagevermögen
0215;Unbebaute Grundstücke;;0;Anlagevermögen
0220;Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke);;0;Anlagevermögen
0225;Grundstücke mit Substanzverzehr;;0;Anlagevermögen
0229;Grundstücksanteil des häuslichen Arbeitszimmers;;0;Anlagevermögen
0230;Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten;;0;Anlagevermögen
0235;Grundstückswerte eigener bebauter Grundstücke;;0;Anlagevermögen
0240;Geschäftsbauten;;0;Anlagevermögen
0250;Fabrikbauten;;0;Anlagevermögen
0260;Andere Bauten;;0;Anlagevermögen
0270;Garagen;;0;Anlagevermögen
0280;Außenanlagen für Geschäfts-, Fabrik- und andere Bauten;;0;Anlagevermögen
0285;Hof- und Wegebefestigungen;;0;Anlagevermögen
0290;Einrichtungen für Geschäfts-, Fabrik- und andere Bauten;;0;Anlagevermögen
0300;Wohnbauten;;0;Anlagevermögen
0305;Garagen;;0;Anlagevermögen
0310;Außenanlagen;;0;Anlagevermögen
0315;Hof- und Wegebefestigungen;;0;Anlagevermögen
0320;Einrichtungen für Wohnbauten;;0;Anlagevermögen
0329;Gebäudeteil des häuslichen Arbeitszimmers;;0;Anlagevermögen
0330;Bauten auf fremden Grundstücken;;0;Anlagevermögen
0340;Geschäftsbauten;;0;Anlagevermögen
0350;Fabrikbauten;;0;Anlagevermögen
0360;Wohnbauten;;0;Anlagevermögen
0370;Andere Bauten;;0;Anlagevermögen
0380;Garagen;;0;Anlagevermögen
0390;Außenanlagen;;0;Anlagevermögen
0395;Hof- und Wegebefestigungen;;0;Anlagevermögen
0398;Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten;;0;Anlagevermögen
0400;Technische Anlagen und Maschinen;;0;Anlagevermögen
0420;Technische Anlagen;;0;Anlagevermögen
0440;Maschinen;;0;Anlagevermögen
0450;Transportanlagen und Ähnliches;;0;Anlagevermögen
0460;Maschinengebundene Werkzeuge;;0;Anlagevermögen
0470;Betriebsvorrichtungen;;0;Anlagevermögen
0500;Andere Anlagen, Betriebs- und Geschäftsausstattung;;0;Anlagevermögen
0510;Andere Anlagen;;0;Anlagevermögen
0520;Pkw;;0;Anlagevermögen
0540;Lkw;;0;Anlagevermögen
0560;Sonstige Transportmittel;;0;Anlagevermögen
0620;Werkzeuge;;0;Anlagevermögen
0630;Betriebsausstattung;;0;Anlagevermögen
0635;Geschäftsausstattung;;0;Anlagevermögen
0640;Ladeneinrichtung;;0;Anlagevermögen
0650;Büroeinrichtung;;0;Anlagevermögen
0660;Gerüst- und Schalungsmaterial;;0;Anlagevermögen
0670;Geringwertige Wirtschaftsgüter;;0;Anlagevermögen
0675;Wirtschaftsgüter (Sammelposten);;0;Anlagevermögen
0680;Einbauten in fremde Grundstücke;;0;Anlagevermögen
0690;Sonstige Betriebs- und Geschäftsausstattung;;0;Anlagevermögen
0700;Geleistete Anzahlungen und Anlagen im Bau;;0;Anlagevermögen
0705;Anzahlungen auf Grund und Boden;;0;Anlagevermögen
0710;Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken;;0;Anlagevermögen
0720;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken;;0;Anlagevermögen
0725;Wohnbauten im Bau auf eigenen Grundstücken;;0;Anlagevermögen
0735;Anzahlungen auf Wohnbauten auf eigenen Grundstücken;;0;Anlagevermögen
0740;Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken;;0;Anlagevermögen
0750;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken;;0;Anlagevermögen
0755;Wohnbauten im Bau auf fremden Grundstücken;;0;Anlagevermögen
0765;Anzahlungen auf Wohnbauten auf fremden Grundstücken;;0;Anlagevermögen
0770;Technische Anlagen und Maschinen im Bau;;0;Anlagevermögen
0780;Anzahlungen auf technische Anlagen und Maschinen;;0;Anlagevermögen
0785;Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau;;0;Anlagevermögen
0795;Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung;;0;Anlagevermögen
0800;Anteile an verbundenen Unternehmen (Anlagevermögen);;0;Anlagevermögen
0803;Anteile an verbundenen Unternehmen, Personengesellschaften;;0;Anlagevermögen
0804;Anteile an verbundenen Unternehmen, Kapitalgesellschaften;;0;Anlagevermögen
0805;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften;;0;Anlagevermögen
0806;Anteile einer GmbH & Co. KG an einer Komplementär-GmbH;;0;Anlagevermögen
0808;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften;;0;Anlagevermögen
0809;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft;;0;Anlagevermögen
0810;Ausleihungen an verbundene Unternehmen;;0;Anlagevermögen
